MetaMessage('time_signature', numerator=4, denominator=4, clocks_per_click=24, notated_32nd_notes_per_beat=8, time=0) 3500
MetaMessage('set_tempo', tempo=600000, time=0) 3500
MetaMessage('track_name', name='Elec. Piano (Classic)', time=0) 3500
program_change channel=0 program=0 time=0 3500
note_on channel=0 note=60 velocity=50 time=0 3500
note_off channel=0 note=60 velocity=0 time=0.15 3650.0
note_on channel=0 note=60 velocity=50 time=0.15 3800.0
note_off channel=0 note=60 velocity=0 time=0.15 3950.0
note_on channel=0 note=67 velocity=50 time=0.3 4250.0
note_off channel=0 note=67 velocity=0 time=0.15 4400.0
note_on channel=0 note=64 velocity=50 time=0.8999999999999999 5300.0
note_off channel=0 note=64 velocity=0 time=0.15 5450.0
note_on channel=0 note=62 velocity=50 time=0.44999999999999996 5900.0
note_off channel=0 note=62 velocity=0 time=0.15 6050.0
note_on channel=0 note=60 velocity=50 time=0.15 6200.0
note_off channel=0 note=60 velocity=0 time=0.15 6350.0
note_on channel=0 note=60 velocity=50 time=0.15 6500.0
note_off channel=0 note=60 velocity=0 time=0.15 6650.0
note_on channel=0 note=67 velocity=50 time=0.15 6800.0
note_off channel=0 note=67 velocity=0 time=0.15 6950.0
note_on channel=0 note=64 velocity=50 time=0.7499999999999999 7700.0
note_off channel=0 note=64 velocity=0 time=0.15 7850.0
note_on channel=0 note=62 velocity=50 time=0.44999999999999996 8300.0
note_off channel=0 note=62 velocity=0 time=0.15 8450.0
note_on channel=0 note=60 velocity=50 time=0.15 8600.0
note_off channel=0 note=60 velocity=0 time=0.15 8750.0
note_on channel=0 note=60 velocity=50 time=0.15 8900.0
note_off channel=0 note=60 velocity=0 time=0.15 9050.0
note_on channel=0 note=69 velocity=50 time=0.15 9200.0
note_off channel=0 note=69 velocity=0 time=0.15 9350.0
note_on channel=0 note=64 velocity=50 time=0.7499999999999999 10100.0
note_off channel=0 note=64 velocity=0 time=0.15 10250.0
note_on channel=0 note=62 velocity=50 time=0.44999999999999996 10700.0
note_off channel=0 note=62 velocity=0 time=0.15 10850.0
note_on channel=0 note=60 velocity=50 time=0.15 11000.0
note_off channel=0 note=60 velocity=0 time=0.15 11150.0
note_on channel=0 note=60 velocity=50 time=0.15 11300.0
note_off channel=0 note=60 velocity=0 time=0.15 11450.0
note_on channel=0 note=60 velocity=50 time=0.15 11600.0
note_on channel=0 note=65 velocity=50 time=0 11600.0
note_off channel=0 note=60 velocity=0 time=0.15 11750.0
note_off channel=0 note=65 velocity=0 time=0 11750.0
note_on channel=0 note=65 velocity=50 time=0.44999999999999996 12200.0
note_off channel=0 note=65 velocity=0 time=0.15 12350.0
note_on channel=0 note=65 velocity=50 time=0.44999999999999996 12800.0
note_off channel=0 note=65 velocity=0 time=0.15 12950.0
note_on channel=0 note=60 velocity=50 time=0.44999999999999996 13400.0
note_off channel=0 note=60 velocity=0 time=0.15 13550.0
note_on channel=0 note=60 velocity=50 time=0.15 13700.0
note_off channel=0 note=60 velocity=0 time=0.15 13850.0
note_on channel=0 note=60 velocity=50 time=0.15 14000.0
